ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-02,5233.6067265599995,4536.259923531723,6609.491885472317,5233.6067265599995,5233.6067265599995,326.9163214367861,326.9163214367861,326.9163214367861,-219.64733846883613,-219.64733846883613,-219.64733846883613,546.5636599056222,546.5636599056222,546.5636599056222,0.0,0.0,0.0,5560.523047996786
2013-01-03,5232.198122446978,4308.1257349293755,6420.53130491019,5232.198122446978,5232.198122446978,108.92516395425461,108.92516395425461,108.92516395425461,-309.0893061481706,-309.0893061481706,-309.0893061481706,418.01447010242515,418.01447010242515,418.01447010242515,0.0,0.0,0.0,5341.123286401233
2013-01-04,5230.789518333957,4407.39391225725,6635.722568683951,5230.789518333957,5230.789518333957,240.4950628303033,240.4950628303033,240.4950628303033,-54.5285551371454,-54.5285551371454,-54.5285551371454,295.02361796744873,295.02361796744873,295.02361796744873,0.0,0.0,0.0,5471.28458116426
2013-01-05,5229.380914220936,4404.774176265833,6594.342105928229,5229.380914220936,5229.380914220936,329.71915802502986,329.71915802502986,329.71915802502986,150.7036994410253,150.7036994410253,150.7036994410253,179.01545858400456,179.01545858400456,179.01545858400456,0.0,0.0,0.0,5559.100072245966
2013-01-07,5226.563705994894,4517.207687223002,6751.366293435334,5226.563705994894,5226.563705994894,360.7611947312972,360.7611947312972,360.7611947312972,387.9292705717664,387.9292705717664,387.9292705717664,-27.168075840469093,-27.168075840469093,-27.168075840469093,0.0,0.0,0.0,5587.324900726191
2013-01-08,5225.155101881873,3953.4670341023107,5997.417585276699,5225.155101881873,5225.155101881873,-218.0342760682746,-218.0342760682746,-218.0342760682746,-102.66917574078796,-102.66917574078796,-102.66917574078796,-115.36510032748664,-115.36510032748664,-115.36510032748664,0.0,0.0,0.0,5007.1208258135985
2013-01-09,5223.746497768851,3722.6923405188204,5883.961233638868,5223.746497768851,5223.746497768851,-412.2984987133472,-412.2984987133472,-412.2984987133472,-219.6473384685352,-219.6473384685352,-219.6473384685352,-192.65116024481202,-192.65116024481202,-192.65116024481202,0.0,0.0,0.0,4811.447999055505
2013-01-10,5222.337893655829,3614.169184695977,5734.323605276824,5222.337893655829,5222.337893655829,-567.6463819108225,-567.6463819108225,-567.6463819108225,-309.0893061478581,-309.0893061478581,-309.0893061478581,-258.55707576296436,-258.55707576296436,-258.55707576296436,0.0,0.0,0.0,4654.691511745007
2013-01-11,5220.929289542808,3816.1011713495054,5921.62724961476,5220.929289542808,5220.929289542808,-367.35968419488444,-367.35968419488444,-367.35968419488444,-54.528555136377925,-54.528555136377925,-54.528555136377925,-312.8311290585065,-312.8311290585065,-312.8311290585065,0.0,0.0,0.0,4853.569605347923
2013-01-12,5219.520685429787,3969.0633200072234,6009.533912164809,5219.520685429787,5219.520685429787,-204.7333609355088,-204.7333609355088,-204.7333609355088,150.70369944102427,150.70369944102427,150.70369944102427,-355.4370603765331,-355.4370603765331,-355.4370603765331,0.0,0.0,0.0,5014.7873244942775
2013-01-14,5216.703477203744,4128.625857585424,6305.999550751967,5216.703477203744,5216.703477203744,-18.604246398512903,-18.604246398512903,-18.604246398512903,387.929270571942,387.929270571942,387.929270571942,-406.53351697045497,-406.53351697045497,-406.53351697045497,0.0,0.0,0.0,5198.099230805231
2013-01-15,5215.294873090723,3714.686331853298,5662.115599466996,5215.294873090723,5215.294873090723,-518.6185403304738,-518.6185403304738,-518.6185403304738,-102.66917574101605,-102.66917574101605,-102.66917574101605,-415.94936458945773,-415.94936458945773,-415.94936458945773,0.0,0.0,0.0,4696.676332760249
2013-01-16,5213.886268977702,3589.254469745372,5649.495775101458,5213.886268977702,5213.886268977702,-635.1623164744228,-635.1623164744228,-635.1623164744228,-219.6473384682344,-219.6473384682344,-219.6473384682344,-415.51497800618836,-415.51497800618836,-415.51497800618836,0.0,0.0,0.0,4578.723952503278
2013-01-17,5212.47766486468,3375.7011506528647,5539.2300238477,5212.47766486468,5212.47766486468,-715.1839177183232,-715.1839177183232,-715.1839177183232,-309.08930614754564,-309.08930614754564,-309.08930614754564,-406.09461157077754,-406.09461157077754,-406.09461157077754,0.0,0.0,0.0,4497.293747146357
2013-01-18,5211.069060751659,3728.3423469864133,5810.279918435292,5211.069060751659,5211.069060751659,-443.2020071391107,-443.2020071391107,-443.2020071391107,-54.5285551376208,-54.5285551376208,-54.5285551376208,-388.67345200149,-388.67345200149,-388.67345200149,0.0,0.0,0.0,4767.867053612548
2013-01-19,5209.660456638638,3932.952214506672,6027.979191225617,5209.660456638638,5209.660456638638,-213.6286901357788,-213.6286901357788,-213.6286901357788,150.70369944127998,150.70369944127998,150.70369944127998,-364.3323895770588,-364.3323895770588,-364.3323895770588,0.0,0.0,0.0,4996.031766502859
2013-01-21,5206.843248412596,4191.030194338188,6318.8405301401845,5206.843248412596,5206.843248412596,88.39541486102468,88.39541486102468,88.39541486102468,387.92927057189166,387.92927057189166,387.92927057189166,-299.533855710867,-299.533855710867,-299.533855710867,0.0,0.0,0.0,5295.238663273621
